id,time,latitude,longitude,mag,magType,place,type,status,locationSource,state
nn00836351,2022-03-15 23:33:11.165000+00:00,36.4837,-115.7237,0.8,ml,"10 km SSW of Indian Springs, Nevada",earthquake,reviewed,nn,US-NV
mb80540629,2022-03-15 23:30:49.740000+00:00,46.888,-112.5085,0.22,ml,"15 km ESE of Lincoln, Montana",earthquake,reviewed,mb,US-MT
nc73706201,2022-03-15 23:30:46.590000+00:00,38.8264999,-122.7961655,0.88,md,"6km W of Cobb, CA",earthquake,automatic,nc,US-CA
ak0223erkcte,2022-03-15 23:17:28.930000+00:00,60.3685,-152.2461,2.6,ml,"47 km NW of Ninilchik, Alaska",earthquake,reviewed,ak,US-AK
uu60485777,2022-03-15 23:14:59.680000+00:00,39.42,-110.3115,1.57,md,"15 km SSE of Sunnyside, Utah",earthquake,reviewed,uu,US-UT
us6000h4wg,2022-03-15 23:14:42.099000+00:00,-24.0472,-67.3072,4.2,mb,"102 km W of San Antonio de los Cobres, Argentina",earthquake,reviewed,us,AR-A
pr71340363,2022-03-15 23:08:27.880000+00:00,17.9411666666667,-66.9623333333333,1.46,md,"6 km WSW of Guánica, Puerto Rico",earthquake,reviewed,pr,US-PR
ak0223erhmsp,2022-03-15 23:04:50.174000+00:00,61.3471,-147.997,1.3,ml,"50 km ESE of Knik River, Alaska",ice quake,reviewed,ak,US-AK
us6000hf5l,2022-03-15 23:04:18.052000+00:00,51.4497,-175.2761,3.2,ml,"105 km ESE of Adak, Alaska",earthquake,reviewed,us,
us6000h4wc,2022-03-15 23:03:55.842000+00:00,-22.7227,-70.4875,4.4,mb,"75 km SSW of Tocopilla, Chile",earthquake,reviewed,us,
us6000hf5t,2022-03-15 23:02:21.256000+00:00,52.274,-166.0434,2.3,ml,"181 km S of Unalaska, Alaska",earthquake,reviewed,us,
nc73706196,2022-03-15 22:53:25.540000+00:00,37.3541667,-118.5861667,1.19,md,"7km S of Round Valley, CA",earthquake,reviewed,nc,US-CA
av91052183,2022-03-15 22:47:34.500000+00:00,51.7906666666667,-178.882833333333,0.68,ml,"155 km W of Adak, Alaska",earthquake,reviewed,av,US-AK
uu60485772,2022-03-15 22:41:05.280000+00:00,44.5975,-110.3093333,0.49,md,"52 km SSW of Silver Gate, Montana",earthquake,reviewed,uu,US-WY
nn00836348,2022-03-15 22:27:14.324000+00:00,36.4626,-115.7283,0.8,ml,"12 km SSW of Indian Springs, Nevada",earthquake,reviewed,nn,US-NV
us7000h04x,2022-03-15 22:13:28.143000+00:00,38.2722,-108.9252,2.0,ml,"28 km E of La Sal, Utah",earthquake,reviewed,us,US-CO
ci39968823,2022-03-15 22:08:22.180000+00:00,35.825,-117.6473333,0.35,ml,"23km N of Ridgecrest, CA",earthquake,reviewed,ci,US-CA
uu60485767,2022-03-15 22:01:23+00:00,44.6066667,-110.3143333,0.67,md,"51 km SE of Mammoth, Wyoming",earthquake,reviewed,uu,US-WY
nc73706191,2022-03-15 22:01:20.370000+00:00,38.821167,-122.8121643,1.07,md,"7km NW of The Geysers, CA",earthquake,automatic,nc,US-CA
nn00835391,2022-03-15 21:58:22.424000+00:00,38.1572,-118.2218,1.0,ml,"27 km SSW of Mina, Nevada",earthquake,reviewed,nn,US-NV
uu60485762,2022-03-15 21:54:28.560000+00:00,44.6123333,-110.3208333,0.73,md,"50 km SE of Mammoth, Wyoming",earthquake,reviewed,uu,US-WY
ak0223eqi5g5,2022-03-15 21:39:04.581000+00:00,62.3877,-148.5053,1.9,ml,"65 km N of Chickaloon, Alaska",earthquake,reviewed,ak,US-AK
ci39968799,2022-03-15 21:37:44.570000+00:00,34.9995,-118.1925,1.57,ml,"6km SSW of Mojave, CA",quarry blast,reviewed,ci,US-CA
nc73706186,2022-03-15 21:37:32.820000+00:00,39.235,-123.1935,1.82,md,"4km SSE of Redwood Valley, CA",earthquake,reviewed,nc,US-CA
us6000h4ut,2022-03-15 21:33:53.849000+00:00,-17.0457,41.0316,4.4,mb,"149 km SE of António Enes, Mozambique",earthquake,reviewed,us,
ak0223eqdvv8,2022-03-15 21:19:13.160000+00:00,52.7431,-168.6565,2.3,ml,"25 km SSE of Nikolski, Alaska",earthquake,reviewed,ak,US-AK
pr71340353,2022-03-15 21:17:30.650000+00:00,18.0583333333333,-66.8136666666667,2.19,md,"4 km NE of Yauco, Puerto Rico",earthquake,reviewed,pr,US-PR
ak0223eqd8vi,2022-03-15 21:16:15.183000+00:00,59.5446,-153.4843,1.5,ml,"44 km SE of Pedro Bay, Alaska",earthquake,reviewed,ak,US-AK
us6000h5tl,2022-03-15 21:13:36.685000+00:00,-15.2492,-174.0639,4.3,mb,"83 km NNW of Hihifo, Tonga",earthquake,reviewed,us,
uu60485737,2022-03-15 21:12:06.340000+00:00,44.0703333,-110.5601667,0.87,md,"49 km N of Kelly, Wyoming",earthquake,reviewed,uu,US-WY
us6000h5tj,2022-03-15 21:11:52.795000+00:00,14.0403,119.3928,4.4,mb,"72 km WNW of Cabra, Philippines",earthquake,reviewed,us,
ak0223eqbq2c,2022-03-15 21:09:08.671000+00:00,65.0134,-147.0897,1.1,ml,"15 km N of Two Rivers, Alaska",explosion,reviewed,ak,US-AK
ci39968767,2022-03-15 21:04:28.470000+00:00,35.8523333,-117.6631667,0.3,ml,"24km ESE of Little Lake, CA",earthquake,reviewed,ci,US-CA
ak0223eq9vta,2022-03-15 21:00:44.572000+00:00,63.4189,-150.1609,1.3,ml,"60 km W of Cantwell, Alaska",earthquake,reviewed,ak,US-AK
ak0223eq051q,2022-03-15 20:55:00.137000+00:00,60.1521,-152.8258,1.7,ml,"65 km WNW of Happy Valley, Alaska",earthquake,reviewed,ak,US-AK
ci39968759,2022-03-15 20:54:34.700000+00:00,35.7851667,-117.6095,0.97,ml,"19km W of Searles Valley, CA",earthquake,reviewed,ci,US-CA
ak0223epzmf5,2022-03-15 20:52:59.601000+00:00,61.7248,-149.8373,1.0,ml,"10 km N of Houston, Alaska",earthquake,reviewed,ak,US-AK
uu60485732,2022-03-15 20:50:33.410000+00:00,44.6043333,-110.3118333,1.15,md,"51 km SSW of Silver Gate, Montana",earthquake,reviewed,uu,US-WY
